TMURL,TMId
https://www.transfermarkt.com/cardiff-city/startseite/verein/603/saison_id/2010,
https://www.transfermarkt.com/craig-bellamy/profil/spieler/3297,3297
https://www.transfermarkt.com/rangers-fc/startseite/verein/124/saison_id/2010,
https://www.transfermarkt.com/vladimir-weiss/profil/spieler/92701,92701
https://www.transfermarkt.com/slovan-bratislava/startseite/verein/540,
https://www.transfermarkt.com/adam-johnson/profil/spieler/31579,31579
https://www.transfermarkt.com/pausiert/startseite/verein/2113,
https://www.transfermarkt.com/shaun-wright-phillips/profil/spieler/3467,3467
https://www.transfermarkt.com/carlos-tevez/profil/spieler/4276,4276
https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2010,
https://www.transfermarkt.com/edin-dzeko/profil/spieler/28396,28396
https://www.transfermarkt.com/inter-milan/startseite/verein/46/saison_id/2010,
https://www.transfermarkt.com/mario-balotelli/profil/spieler/45146,45146
https://www.transfermarkt.com/adana-demirspor/startseite/verein/3840,
https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2010,
https://www.transfermarkt.com/emmanuel-adebayor/profil/spieler/8883,8883
https://www.transfermarkt.com/galatasaray-a-s-/startseite/verein/141/saison_id/2009,
https://www.transfermarkt.com/jotm/profil/spieler/34156,34156
https://www.transfermarkt.com/corinthians-sao-paulo/startseite/verein/199,
https://www.transfermarkt.com/roque-santa-cruz/profil/spieler/215,215
https://www.transfermarkt.com/olimpia-asuncion/startseite/verein/629,
https://www.transfermarkt.com/burnley-fc/startseite/verein/1132/saison_id/2010,
https://www.transfermarkt.com/john-guidetti/profil/spieler/98596,98596
https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108,
https://www.transfermarkt.com/alex-nimely/profil/spieler/121410,121410
https://www.transfermarkt.com/liverpool-fc/kader/verein/31/saison_id/2010/sort/rn,
https://www.transfermarkt.com/liverpool-fc/kader/verein/31/saison_id/2010/sort/spieler.desc,
https://www.transfermarkt.com/liverpool-fc/kader/verein/31/saison_id/2010/sort/age,
https://www.transfermarkt.com/liverpool-fc/kader/verein/31/saison_id/2010/sort/vertrag_bis,
https://www.transfermarkt.com/liverpool-fc/kader/verein/31/saison_id/2010/sort/marktwert.desc,
https://www.transfermarkt.com/pepe-reina/profil/spieler/7825,7825
https://www.transfermarkt.com/lazio-rom/startseite/verein/398,
https://www.transfermarkt.com/derby-county/startseite/verein/22/saison_id/2010,
https://www.transfermarkt.com/brad-jones/profil/spieler/4042,4042
https://www.transfermarkt.com/diego-cavalieri/profil/spieler/53231,53231
https://www.transfermarkt.com/martin-hansen/profil/spieler/45601,45601
https://www.transfermarkt.com/hannover-96/startseite/verein/42,
https://www.transfermarkt.com/tranmere-rovers/startseite/verein/1074/saison_id/2010,
https://www.transfermarkt.com/peter-gulacsi/profil/spieler/57071,57071
https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826,
https://www.transfermarkt.com/daniel-agger/profil/spieler/22832,22832
https://www.transfermarkt.com/martin-skrtel/profil/spieler/24180,24180
https://www.transfermarkt.com/spartak-trnava/startseite/verein/365,
https://www.transfermarkt.com/jamie-carragher/profil/spieler/3597,3597
https://www.transfermarkt.com/sotiris-kyrgiakos/profil/spieler/9706,9706
https://www.transfermarkt.com/danny-wilson/profil/spieler/103819,103819
https://www.transfermarkt.com/colorado-rapids/startseite/verein/1247,
https://www.transfermarkt.com/daniel-ayala/profil/spieler/78966,78966
https://www.transfermarkt.com/blackburn-rovers/startseite/verein/164,
https://www.transfermarkt.com/conor-coady/profil/spieler/128901,128901
https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543,
https://www.transfermarkt.com/fabio-aurelio/profil/spieler/7570,7570
https://www.transfermarkt.com/paul-konchesky/profil/spieler/3296,3296
https://www.transfermarkt.com/jack-robinson/profil/spieler/128909,128909
https://www.transfermarkt.com/sheffield-united/startseite/verein/350,
https://www.transfermarkt.com/glen-johnson/profil/spieler/3881,3881
https://www.transfermarkt.com/martin-kelly/profil/spieler/78959,78959
https://www.transfermarkt.com/crystal-palace/startseite/verein/873,
https://www.transfermarkt.com/liverpool-fc-u18/startseite/verein/6922/saison_id/2010,
https://www.transfermarkt.com/jon-flanagan/profil/spieler/145922,145922
https://www.transfermarkt.com/hb-koge/startseite/verein/23297,
https://www.transfermarkt.com/notts-county/startseite/verein/1045/saison_id/2010,
https://www.transfermarkt.com/stephen-darby/profil/spieler/29933,29933
https://www.transfermarkt.com/andre-wisdom/profil/spieler/128912,128912
https://www.transfermarkt.com/javier-mascherano/profil/spieler/19981,19981
https://www.transfermarkt.com/lucas-leiva/profil/spieler/41414,41414
https://www.transfermarkt.com/juventus-fc/startseite/verein/506/saison_id/2010,
https://www.transfermarkt.com/christian-poulsen/profil/spieler/1443,1443
https://www.transfermarkt.com/jay-spearing/profil/spieler/52111,52111
https://www.transfermarkt.com/tranmere-rovers/startseite/verein/1074,
https://www.transfermarkt.com/steven-gerrard/profil/spieler/3109,3109
https://www.transfermarkt.com/alberto-aquilani/profil/spieler/5957,5957
https://www.transfermarkt.com/fc-porto/startseite/verein/720/saison_id/2010,
https://www.transfermarkt.com/raul-meireles/profil/spieler/13168,13168
https://www.transfermarkt.com/charlton-athletic/startseite/verein/358/saison_id/2010,
https://www.transfermarkt.com/jonjo-shelvey/profil/spieler/71292,71292
https://www.transfermarkt.com/newcastle-united/startseite/verein/762,
https://www.transfermarkt.com/chelsea-fc/startseite/verein/631/saison_id/2010,
https://www.transfermarkt.com/joe-cole/profil/spieler/3876,3876
https://www.transfermarkt.com/maxi-rodriguez/profil/spieler/7895,7895
https://www.transfermarkt.com/club-atletico-newells-old-boys/startseite/verein/1286,
https://www.transfermarkt.com/standard-liege/startseite/verein/3057/saison_id/2010,
https://www.transfermarkt.com/milan-jovanovic/profil/spieler/14933,14933
https://www.transfermarkt.com/ryan-babel/profil/spieler/16135,16135
https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2010,
https://www.transfermarkt.com/dani-pacheco/profil/spieler/28285,28285
https://www.transfermarkt.com/aris-limassol/startseite/verein/10586,
https://www.transfermarkt.com/dirk-kuyt/profil/spieler/4010,4010
https://www.transfermarkt.com/tom-ince/profil/spieler/157368,157368
https://www.transfermarkt.com/stoke-city/startseite/verein/512,
https://www.transfermarkt.com/david-amoo/profil/spieler/53302,53302
https://www.transfermarkt.com/fc-port-vale/startseite/verein/1211,
https://www.transfermarkt.com/ajax-amsterdam/startseite/verein/610/saison_id/2010,
https://www.transfermarkt.com/luis-suarez/profil/spieler/44352,44352
https://www.transfermarkt.com/atletico-madrid/startseite/verein/13,
https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2010,
https://www.transfermarkt.com/andy-carroll/profil/spieler/48066,48066
https://www.transfermarkt.com/fc-reading/startseite/verein/1032,
https://www.transfermarkt.com/david-ngog/profil/spieler/41242,41242
https://www.transfermarkt.com/nathan-eccleston/profil/spieler/88983,88983
https://www.transfermarkt.com/lauri-dalla-valle/profil/spieler/91056,91056
https://www.transfermarkt.com/arsenal-fc/kader/verein/11/saison_id/2010/sort/rn,
https://www.transfermarkt.com/arsenal-fc/kader/verein/11/saison_id/2010/sort/spieler.desc,
https://www.transfermarkt.com/arsenal-fc/kader/verein/11/saison_id/2010/sort/age,
https://www.transfermarkt.com/arsenal-fc/kader/verein/11/saison_id/2010/sort/vertrag_bis,
https://www.transfermarkt.com/arsenal-fc/kader/verein/11/saison_id/2010/sort/marktwert.desc,
https://www.transfermarkt.com/lukasz-fabianski/profil/spieler/29692,29692
https://www.transfermarkt.com/west-ham-united/startseite/verein/379,
https://www.transfermarkt.com/manuel-almunia/profil/spieler/16621,16621
https://www.transfermarkt.com/wojciech-szczesny/profil/spieler/44058,44058
https://www.transfermarkt.com/juventus-turin/startseite/verein/506,
https://www.transfermarkt.com/hull-city/startseite/verein/3008/saison_id/2010,
https://www.transfermarkt.com/vito-mannone/profil/spieler/33781,33781
https://www.transfermarkt.com/as-monaco/startseite/verein/162,
https://www.transfermarkt.com/james-shea/profil/spieler/91340,91340
https://www.transfermarkt.com/luton-town/startseite/verein/1031,
https://www.transfermarkt.com/career-break/startseite/verein/2113/saison_id/2010,
https://www.transfermarkt.com/jens-lehmann/profil/spieler/122,122
https://www.transfermarkt.com/thomas-vermaelen/profil/spieler/15904,15904
https://www.transfermarkt.com/vissel-kobe/startseite/verein/3958,
https://www.transfermarkt.com/fc-lorient/startseite/verein/1158/saison_id/2010,
https://www.transfermarkt.com/laurent-koscielny/profil/spieler/76277,76277
https://www.transfermarkt.com/fc-girondins-bordeaux/startseite/verein/40,
https://www.transfermarkt.com/johan-djourou/profil/spieler/34561,34561
https://www.transfermarkt.com/sevilla-fc/startseite/verein/368/saison_id/2010,
https://www.transfermarkt.com/sebastien-squillaci/profil/spieler/5293,5293
https://www.transfermarkt.com/havard-nordtveit/profil/spieler/42234,42234
https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533,
https://www.transfermarkt.com/ignasi-miquel/profil/spieler/70245,70245
https://www.transfermarkt.com/sd-huesca/startseite/verein/5358,
https://www.transfermarkt.com/gael-clichy/profil/spieler/7449,7449
https://www.transfermarkt.com/servette-fc/startseite/verein/61,
https://www.transfermarkt.com/kieran-gibbs/profil/spieler/44792,44792
https://www.transfermarkt.com/inter-miami-cf/startseite/verein/69261,
https://www.transfermarkt.com/bacary-sagna/profil/spieler/26764,26764
https://www.transfermarkt.com/emmanuel-eboue/profil/spieler/13058,13058
https://www.transfermarkt.com/alex-song/profil/spieler/27394,27394
https://www.transfermarkt.com/as-arta-solar7/startseite/verein/84230,
https://www.transfermarkt.com/denilson/profil/spieler/42352,42352
https://www.transfermarkt.com/millwall-fc/startseite/verein/1028/saison_id/2010,
https://www.transfermarkt.com/craig-eastmond/profil/spieler/67426,67426
https://www.transfermarkt.com/sutton-united/startseite/verein/3052,
https://www.transfermarkt.com/conor-henderson/profil/spieler/91330,91330
https://www.transfermarkt.com/ofk-pirin-blagoevgrad/startseite/verein/521,
https://www.transfermarkt.com/cesc-fabregas/profil/spieler/8806,8806
https://www.transfermarkt.com/jack-wilshere/profil/spieler/74223,74223
https://www.transfermarkt.com/abou-diaby/profil/spieler/26763,26763
https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,50057
https://www.transfermarkt.com/henri-lansbury/profil/spieler/44794,44794
https://www.transfermarkt.com/samir-nasri/profil/spieler/18935,18935
https://www.transfermarkt.com/tomas-rosicky/profil/spieler/132,132
https://www.transfermarkt.com/theo-walcott/profil/spieler/33713,33713
https://www.transfermarkt.com/fc-southampton/startseite/verein/180,
https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984/saison_id/2010,
https://www.transfermarkt.com/carlos-vela/profil/spieler/35773,35773
https://www.transfermarkt.com/los-angeles-fc/startseite/verein/51828,
https://www.transfermarkt.com/andrey-arshavin/profil/spieler/15378,15378
https://www.transfermarkt.com/robin-van-persie/profil/spieler/4380,4380
https://www.transfermarkt.com/fc-girondins-bordeaux/startseite/verein/40/saison_id/2010,
https://www.transfermarkt.com/marouane-chamakh/profil/spieler/19085,19085
https://www.transfermarkt.com/nicklas-bendtner/profil/spieler/34557,34557
